Status,City,State,Country,Classification,Open FDA,Product Type,Event ID,Recalling Firm,Address 1,Address 2,Postal Code,Voluntary Mandated,Initial Firm Notification,Distribution Pattern,Recall Number,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
Terminated,Piscataway,NJ,United States,Class II,{},Food,87961,Clio LLC,141 Ethel Rd W,,08854-5928,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed nationwide,F-0634-2021,Clio No Added Sugar Yogurt Bar Mixed Berry / Peach  50g x 16 (12pc tray). UPC Code: 854021008220,1880 units,Possible metal fragments in Yogurt Bars,20210515,20210528,20220414,20210609,110PB1132021 7/4/2021  110PB113PP2021 7/4/2021  110PB114PP2021 7/4/2021  111PB1142021 7/4/2021  117PB1162021 7/4/2021  117PB116PP2021 7/4/2021,
Terminated,Windermere,FL,United States,Class II,{},Food,85918,Fresh Express Incorporated,4757 The Grove Dr,N/A,34786-8426,Voluntary: Firm initiated,E-Mail,"Domestic: Midwestern states of AR, CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV  Foreign: Canada",F-1052-2020,"Little Salad Bar Garden, 12 oz, UPC 4099100082975, Iceberg lettuce, carrots & red cabbage",unknown,"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",20200619,20200804,20201216,20200722,"Product Code  Z122, Z125, Z126, Z128, Z129, Z130, Z132, Z133, Z134, Z135, Z136, Z139, Z140, Z141, Z142, Z143, Z144, Z145, Z148, Z149, Z150, Z153, Z154, Z155, Z156, Z157, Z158, Z160, Z161, Z162, Z163, Z164, Z165, Z167, Z168, Z169. USED BY  or Before 7/3/2020",
Ongoing,Oxnard,CA,United States,Class I,{},Food,93290,"Gills Onions, LLC",1051 Pacific Ave,,93030-7254,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributors in Canada   AB, BC, NB, NS, ON; and the United States   AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WI.",F-0346-2024,"Cross Valley Farms 4/5 LB CTN FRESH 1/8"" SLIVERED YELLOW ONIONS W/ZIPPER","6,400 lb",Potential contamination with Salmonella Thompson,20231023,20231108,,20231115,Product 6514182006CV; Finished product lots: 223YAC2A1P205 223YAC2A2R202 223YAM4A1P220 223YAM4B1P213 223YAS3A1P207 223YAS3A1P209 223YAS3A1P215 223YAS3A1P219,
Terminated,Miami,FL,United States,Class II,{},Food,92215,Borris Brothers,12254 Sw 131st Ave Unit 2,N/A,33186-6482,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution within state of Florida. No foreign distribution.,F-0881-2023,"Smoked Mahi Dip, Net Wt. 8oz and 48oz",95 containers of 8oz and 4 containers of 48oz,Undeclared Yellow #5,20230413,20230511,20230622,20230517,Batch #3-401,
Terminated,Chicago,IL,United States,Class II,{},Food,87840,Newly Weds Foods Inc,4140 W Fullerton Ave,N/A,60639-2106,Voluntary: Firm initiated,E-Mail,"Manufacturers and distributors located in ALABAMA, ARKANSAS, CALIFORNIA, CONNECTICUT, FLORIDA, GEORGIA, ILLINOIS, IOWA, KANSAS, LOUISIANA, MISSISSIPPI, MISSOURI, NEW YORK, TENNESSEE, TEXAS, VIRGINIA, and MEXICO.",F-0523-2021,"Newly Weds B70731 bread crumbs X1, 25lbs bag",489 bags,Foreign material,20210427,20210518,20220209,20210526,Lot numbers:  MS040421J,
Terminated,Chicago,IL,United States,Class II,{},Food,87840,Newly Weds Foods Inc,4140 W Fullerton Ave,N/A,60639-2106,Voluntary: Firm initiated,E-Mail,"Manufacturers and distributors located in ALABAMA, ARKANSAS, CALIFORNIA, CONNECTICUT, FLORIDA, GEORGIA, ILLINOIS, IOWA, KANSAS, LOUISIANA, MISSISSIPPI, MISSOURI, NEW YORK, TENNESSEE, TEXAS, VIRGINIA, and MEXICO.",F-0521-2021,"Newly Weds B70709 breader crumbs X3, 40lbs bag",142 bags,Foreign material,20210427,20210518,20220209,20210526,Lot numbers:  MS040321J,
Terminated,Albuquerque,NM,United States,Class II,{},Food,92936,"Vitality Works, Inc",8500 Bluewater Rd NW,N/A,87121-1958,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","55 Retail customers, representing 284 individual stores.  All customers are located within the United States. There is no foreign distribution. There is no distribution to US Government agencies or departments. Distribution is by small parcel shipper (UPS, FedEx).  Distribution Chain Notification Date: August 24, 2023",F-1563-2023,"100 vegetarian  Fenugreek Capsules 90 count, 600mg, packaged in 150cc Amber Glass Packer  with White Polypropylene Cap.","1,025 bottles (total)",Foreign material: pieces of a pen (writing utensil).,20230822,20230922,20231113,20231004,Lot 2023-06871  (Lot numbers are generated by our ERP system and use the 4-digit year followed by a 5-digit sequential number.) Expires: 07/2028 Bottom Code: FENUGRK PCAP 202306871 EXP 07/28,
Ongoing,El Paso,TX,United States,Class II,{},Food,92844,Mount Franklin Foods LLC DBA Azar Nut Co.,1800 Northwestern Dr,,79912-1122,Voluntary: Firm initiated,E-Mail,Nationwide,F-1517-2023,"Power Snacks Honey Roasted Sunflower Kernels, Net Wt 1 oz; UPC 076500722025","88,084 total",Potential to contain undeclared soy and/or wheat allergen due to mislabeling.,20230816,20230915,,20230927,"Best Used By: 3/21/2024, 3/23/2024, 3/24/2024, 3/26/2024, 3/27/2024, 4/4/2024, 4/5/2024, 4/6/2024, 4/7/2024, 4/11/2024, 4/12/2024, 4/13/2024, 6/12/2024",
Terminated,Coral Gables,FL,United States,Class II,{},Food,94530,"CN Frozen Foods, INC",2330 Ponce De Leon Blvd,N/A,33134-5417,Voluntary: Firm initiated,E-Mail,Product was only sold in Texas.,F-1243-2024,Sysco Classic Riced Cauliflower packed in a 4lb plastic bag (6 units of 4 lb. per carton box).,"3,240 cases",Riced Cauliflower tested positive for Listeria monocytogenes.,20240427,20240515,20240624,20240522,Manufacture #: 30.05.2023  Best Buy Date: 05/2025 Reorder #: 5087729,
Ongoing,Buffalo,NY,United States,Class III,{},Food,92770,"The Sausage Maker, Inc.",1500 Clinton St Bldg 7,,14206-3015,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",online orders nationwide,F-0405-2024,The Sausage Maker Instacure #1,995 lbs.,Contains Sodium Nitrite recalled for potential metal contamination,20230725,20231109,,20231115,Lot 30508DA010  Manf. 5/8/23 Cat No. 11-1013,
Terminated,Inglewood,CA,United States,Class II,{},Food,88824,Chocolate and the Chip,705 Vesta St,N/A,90302-3316,Voluntary: Firm initiated,Press Release,Nationwide distribution,F-0043-2022,"Chocolate & the Chip  Boozy Banana Walnut:  Cookies: 4 oz / 114 grams per pack. Cookies are packaged in uniform pairs in a food grade clear resealable bag and label  Corrected Ingredients: Not provided    Labels found during the inspection had undeclared wheat, milk, soy sulfites. Firm had listed ingredients on packaging but what was missing were the sub ingredients and allergen containment.",3000 units (total),Inspection by the California Department of Public Health found undeclared allergens in numerous bakery products.,20211005,20211020,20211130,20211027,"Product manufactured from July 1, 2021 to 9-30-21.",
Terminated,Marietta,GA,United States,Class II,{},Food,91329,Something South African LLC,825 Franklin Ct Se Ste B,N/A,30067-8944,Voluntary: Firm initiated,E-Mail,nationwide,F-0263-2023,"Pepper Collection 8 Tube Gift Set - a colorful assortment of dried peppers.  This product contains peppers in 8 different glass tube and packaged in a printed paperboard sleeve and are visible through a window in the sleeve. Net wt. is 4.87oz/138g. The UPC is 6 009686 793712.  Packed in South Africa. US Importer: Something South African, LLC Seattle WA 98199, Email: info@somethingsouthafrican.net.",4200 units,Due to presence of mold (Aspergillus brasiliensis) and Ochratoxin A.,20221212,20230113,20230424,20230125,BBE: JUN/2024. Batch: 494951 -T,
Ongoing,Danville,IL,United States,Class II,{},Food,93631,The Quaker Oats Co.,1703 E Voorhees St,,61834-6256,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","This product was distributed and sold nationally in all states, Puerto Rico, Guam, and Saipan, as well as outside of the United States.",F-0950-2024,Quaker Chewy Bars Less Sugar Peanut Butter Chocolate Chip 8ct 6.7 oz. Bars are individually wrapped in plastic and then packaged in paperboard boxes.,"22,512,942 total cases for all products",potential Salmonella,20231215,20240227,,20240306,Best Before of Aug-02-24 and any earlier date,
Terminated,Nof Ha-Galil,,Israel,Class I,{},Food,90105,ELITE CONFECTIONERY LTD,Nazareth-Ilit,"5, Gilbo'A",N/A,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in the US nationwide,F-1203-2022,ELITE PESEK ZMAN WAFER ROLL UPC: 815871011495 NET WT. 1.4 oz (40g),unknown,Potential contamination with Salmonella,20220428,20220604,20221103,20220615,All lots,
Terminated,Fort Myers,FL,United States,Class I,{},Food,94308,Belgian Yummies,7970 Summerlin Lakes Dr Ste 101,N/A,33907-1855,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were only distributed in the state of Florida.,F-1230-2024,Vanilla Ice Cream Cookie Sandwich. Sandwiches packaged in a gold or clear bags. 50 sandwiches per case and weighting 4oz each sandwich.,1208.,"Undeclared Allergen: milk, eggs, wheat, peanuts, and tree nuts.",20240320,20240509,20240716,20240515,No lot numbers provided; Expiration date is 6 months from production date.,
Terminated,Friesland,WI,United States,Class I,{},Food,89043,"Alsum Farms & Produce, Inc.",N9083 County Road Ef,,53935,Voluntary: Firm initiated,E-Mail,"IL, MI, PA, WI",F-0227-2022,"Alsum Farms & Produce  Whole Red onions packaged in 2lb. (907g) bags,  UPC 39186-60101 Produce of Mexico.  Packed by Alsum Farms & Product, Inc., Friesland, WI  53935.","8,592 bags",Onions are being recalled by Keeler Family Farms due to potential Salmonella contamination.,20211102,20211130,20220113,20211208,"Lots: 039008, 099008, 109008, 139007, 139008",
Completed,Norcross,GA,United States,Class II,{},Food,91605,Epic Baking,2175 Royal Palm Ct,N/A,30071-4616,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Product was shipped to the following states GA & TN,F-0601-2023,"Cafe' Intermezzo Strawberry Cr¿me Torte 5.5 lbs Ingredients: White Cake, Water, Vegetable Oil, Strawberry Buttercream (Sugar, Shortening, Strawberry Jell-O, Vanilla Extract, Salt), Chocolate Pudding Mix, Strawberry Glaze, Red Chocolate Curls. Contains: Milk, eggs, wheat, and soy, May contain tree nuts and peanuts.",191 Tortes,Firm did not list sub-ingredients. Undeclared Blue 1; Yellow 5 and 6; Red 40. Remaining major allergens were listed in contains statement and/or ingredient list.,20230130,20230313,,20230322,STT103122 to STT012823,
Terminated,Utica,OH,United States,Class I,{},Food,87796,Velvet Ice Cream Company,11324 Mount Vernon Rd,N/A,43080-7703,Voluntary: Firm initiated,Telephone,"Illinois, Indiana, Kentucky, Michigan, Ohio, South Carolina, West Virginia, Pennsylvania, New York",F-0571-2021,Velvet Cookies n Cream   16oz - 8 cartons to a case  3 Gallon Tub - 1 Tub per case,N/A,Potentially contaminated with Listeria monocytogenes,20210423,20210522,20210720,20210512,16 oz : Lot 21092  3 Gallon : Lot 21084,
Terminated,Olympia,WA,United States,Class II,{},Food,86112,San Francisco Street Bakery Inc.,1320 San Francisco Ave Ne,N/A,98506-4138,Voluntary: Firm initiated,Telephone,distributed in WA only.,F-1332-2020,"Pain Au Levain Bread, San Francisco Street Bakery brand, keep at ambient temperature.  Individually packaged in flex poly bag, net weight 16 oz (454 g). UPC 0 08613 10013 1.    The product label is read in parts: ""***Pain Au Levain Bread ***Ingredients: unbleached wheat flour, water, sourdough culture, sea salt ***San Francisco Street BAKERY, Olympia, WA ***"".",62 loaves,"The firm used pan release spray, which contains soy lecithin, on equipment and finished products labels do not declare soy lecithin.",20200723,20200826,20200827,20200819,"Production dates July 6-7, 2020.  No code or expiration date noted on the packages.  Firm color codes tie closures representing the days of the week.",
Terminated,Navarre,OH,United States,Class II,{},Food,87948,RC Industries Inc.,620 Main St N,N/A,44662-8556,Voluntary: Firm initiated,E-Mail,"FL, GA, MI, NY, NC, OH, PA, TN, WI",F-0661-2021,Mideo's Marinara Glass 32oz jars - 6 jars per case,"159,942 jars",Potassium mg per serving on label is incorrect.,20210511,20210608,20211108,20210616,"Batch Numbers: 041423A, 041423B, 041423C, 040523A, 040523B, 040523C, 032623A, 032723A, 032723B, 022523C, 022223C, 021523C, 020923A, 020823C, 011423C, 011423B, 011423A, 011323A, 011323B, 011323C Product Number 7234300021",
