Product Description,State,Total Quantity Recalled
All BBD 03/05/22 through 03/23/2022   1. Wegmans 32oz Cantaloupe Spears  2. Fresh Harvest 18oz Cantaloupe Spears  3. Tops Large Cantaloupe	  4. Tops Small Cantaloupe	  5. Lexington Co-op 10oz Cantaloupe Chunk (4/cs)	  6. EDU Kids 2 oz. Cantaloupe tidbits,NY,0.0
"All Milk Classic Truffle. Net Wt. 1.4 oz. PLU Code: 788394 11275 1.    Ingredients: Milk chocolate, honey, butter (pasteurized cream & salt), cream, non-fat dry milk, whey, agar, align & lecithin.     Note: Typo on website should be algin.",WY,0.0
"Aloha Organic Protein Drink, Chocolate Sea Salt, Plant-based protein.  Net 11 FL OZ (330 mL) Tetra Pak container UPC 8 42096-11235 5.  Sold in 4 count package wrap with UPC  842095122354.  Shake Well.  Best Chilled.     Manufactured for:  Aloha, Littleton, CO  80127",CA,0.0
"Alqosh Sesame Oil ""Tahin"" packaged in 2lb plastic jars",MI,0.0
"Alsum Farms & Produce  Whole Red onions packaged in 2lb. (907g) bags,  UPC 39186-60101 Produce of Mexico.  Packed by Alsum Farms & Product, Inc., Friesland, WI  53935.",WI,0.0
Apple Grape Tray With Caramel Sauce 2 lbs 10oz  UPC 68113118012 packaged in clear plastic Tray,TX,0.0
August Box of the Month NCA  UPC: 84003140261  Products were sold from Genji Sushi counters inside Whole Foods Market stores,CA,0.0
"Aviator Dehydrated Tomato Halves, Net Wt. 4x2.27kg (5lbs)",NY,0.0
B22084	BATTER MIX X1	50.00	BAG,IL,0.0
B57201	BREADER    X2	50.00	BAG,IL,0.0
"BANH PIA Hopia Cake, Mung Bean - Durian, 16.8 oz (480g)",CA,0.0
"BLUE CRAB DIP 8 oz Ingredients: Blue Crabmeat, cream cheese, vidalia onion, salt, paprika, and spice WASHINGTON CRAB Carolina Seafood",NC,0.0
Bacaolinita Liquid Dietary Supplement With vitamins A and D + B12 8 fl. oz (236 mL) UPC 841548000028 packaged in a bottle inside a cardboard box,,0.0
Bakery Item Angel Creme Filled Chocolate Iced Donuts   6 ct. scale UPC: 2101080005508 packaged in a cardboard box. Product is also separately in the self service case in the store bakery. Customers can put their selected donut(s) in a bag or clamshell container.,PA,0.0
"Banana Chocolate Creme Chocolate covered protein bars, packaged in metalized polypropylene wrappers, packed in 6 count to 18 count boxes, net wt. ranges from 53 to 58 grams.",UT,0.0
"Banner Smoked Fish Inc. brand Cold Smoked Tuna; Ingredients: Tuna, Salt, Sugar, Natural Wood Smoke",NY,0.0
"Banner Smoked Fish Inc. brand Sable (Black Cod, (fish), salt, garlic, natural wood smoke, sodium nitrite as a preservative",NY,0.0
"Banner Smoked Fish Inc. brand Sliced Gravad Lox (Salmon, Salt, Dill weed, Pepper, Natural Hardwood Smoke, Sodium Nitrite)",NY,0.0
"Banner Smoked Fish Inc. brand Sliced Gravlax (Salmon (fish), Salt, Sugar, Dill, Pepper, Sodium Nitrite)",NY,0.0
Barts Ice Cream Co. brand of Chocolate Chip Cookie Dough ice cream (Vanilla ice cream with chunks of cookie dough and dark chocolate chips) packaged in a white pint paper container (1 pint) with expiration dates from 03/05/21 through 06/04/21 and UPC#: 048896100169.,MA,0.0
"Bella Cucina Artful Food Porcini & Parmesan Pesto Net Wt. 6 oz (169g) jar, UPC 6 19193 00146 8 Manufactured by Bella Cucina Artful Food Atlanta, GA 30310",GA,0.0
"Benz's Kansas City BBQ Pre-Sliced Smoked Salmon (Farm raised Atlantic Salmon (astaxanthin color added to feed), spices, salt, sugar, natural hardwood smoke, sodium nitrite)",NY,0.0
Betty Buzz Sparkling Grapefruit - Non-alcoholic Beverage & Mixer Container Description:  4 x 9oz Bottles in Pack 24 units per case,NY,0.0
"Biotin 1000mcg, Dietary Supplement, 30 Tablets, Manufactured by: Golden Nutrition",FL,0.0
"Bistro To Go, Chicken Salad Finger Sandwiches, Net Wt.6.5 Oz. Single Serving, Keep refrigerated",MD,310.0
"Bistro To Go, Chocolate Pudding Delight, Net Wt. 6.5 Oz. Single Serving, Keep refrigerated",MD,0.0
"Bistro To Go, Egg Salad Wheat, Net Wt. 5.5 Oz. Single Serving, Keep refrigerated",MD,0.0
"Bistro To Go, Fresh Cut Tropical Fruit, Net Wt. 7.25 Oz. Single Serving, Keep refrigerated",MD,0.0
"Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated",MD,0.0
"Bistro To Go, Roast Beef & Horseradish Hoagie, Net Wt. 7 Oz. Single Serving, Keep refrigerated",MD,0.0
"Bistro To Go, Smoked Turkey & Swiss Croissant, Net Wt. 7 Oz. Single Serving, Keep refrigerated",MD,0.0
"Black Coffee + Maple Syrup Canned Beverage packaged under the following brands and sizes:   1.  Mud LLC Maple Mud, 12 oz. UPC  8 54555-00705 8.",WI,0.0
BlakeFit Everyday All-in-one Lime Watermelon 44oz Jar UPC CODE X002J9E9KD 323359000058,GA,0.0
"Blendtopia Superfood Smoothie Kit Glow flavor, 7 oz flexible pouch",OH,0.0
"Bobo's Maple Pecan Oat Bars, 3 oz., UPC 8 2926200021 0, Best By 7/30/21 or 7/31/21.",CO,0.0
Bourbon Flavored BBQ Sauce (12.8 oz Pack) 45 Packs/Case,AR,0.0
Breads: English Muffin product	9525	Clear Bag		English Muffins	12	2 oz.,IN,0.0
Breads: Garlic product	8013	Clear Bag		Rolls	140	1.5 oz.	3 Garlic product	8014	Clear Bag		Breadsticks	110	1.5 oz.	23,IN,0.0
Breads: Multigrain product	3481	Clear Bag		Buns	12	62 g Multigrain product	8017	Clear Bag		Loaf	1	28 oz.,IN,0.0
Breads: Pretzel product	8309	Clear Bag		Buns	48	2.1 oz.,IN,0.0
"BrightFarms Mighty Romaine; packaged in clear, plastic clamshells; 4oz and 8oz; grown at the company's Rochelle, Illinois indoor farm",NY,0.0
Brioche-Style Slider Roll 24-pack (033474512021),MA,0.0
Bronzini Seasoned Fillet; by the lb.; seasoned bronzini fillet with olive oil and lemon; packaged in an oven ready tray; package size varies; keep refrigerated,NY,0.0
"Buckeye Fudge   packaged in 8oz tub, 5lb loaf, 4lb tray",OH,0.0
"Cafe' Intermezzo Strawberry Cr¿me Torte 5.5 lbs Ingredients: White Cake, Water, Vegetable Oil, Strawberry Buttercream (Sugar, Shortening, Strawberry Jell-O, Vanilla Extract, Salt), Chocolate Pudding Mix, Strawberry Glaze, Red Chocolate Curls. Contains: Milk, eggs, wheat, and soy, May contain tree nuts and peanuts.",GA,0.0
"Cage Free Hard-Cooked Eggs sold under the following brand names: Almark, Fresh Thyme, Giant Eagle, Kroger, Lucerne, Members Mark, Naturally Better, Rembrandt Foods & Shop Rite.",GA,0.0
"Cajun Style Chicken Meal PLU# 24658700000. Expiration date 8/5/2020.Ingredients: MEAL [CAJUN STYLE BOWTIE PASTA (BOWTIE PASTA (COOKED ENRICHED MACARONI PRODUCT [WATER, SEMOLINA, EGG WHITES, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, CONTAINS LESS THAN 2% OF CULTURED DEXTROSE, SALT), ALFREDO SAUCE [MILK (MILK, VITAMIN D3), HEAVY CREAM (CREAM, MILK), WATER, PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES, POWDERED CELLULOSE [ANTI-CAKING AGENT]), CORNSTARCH, ROMANO CHEESE (PASTEURIZED SHEEP S MILK, CHEESE CULTURES, SALT, ENZYMES, POWDERED CELLULOSE [ANTI-CAKING AGENT]), CONTAINS 2% OR LESS OF ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, WHITE PEPPER, GARLIC POWDER, LEMON PEEL], PEPPERS & ONIONS [RED BELL PEPPER, GREEN BELL PEPPER, YELLOW BELL PEPPER, YELLOW ONION, OIL BLEND (CANOLA OIL, EXTRA VIRGIN OLIVE OIL), SALT, BLACK PEPPER], CAJUN SEASONING (GARLIC, SPICES [INCLUDING PAPRIKA, OREGANO, RED PEPPER], SALT, ONION)), GRILLED CHICKEN (CHICKEN BREAST [BONELESS SKINLESS CHICKEN BREAST], WATER, ISOLATED SOY PROTEIN, SALT, SODIUM PHOSPHATES, BLACK PEPPER), PEPPERS & ONIONS [RED BELL PEPPER, GREEN BELL PEPPER, YELLOW BELL PEPPER, YELLOW ONION, OIL BLEND (CANOLA OIL, EXTRA VIRGIN OLIVE OIL), SALT, BLACK PEPPER], PARMESAN CHEESE (PASTEURIZED PART SKIM MILK, CHEESE CULTURES AND/OR RENNET, SALT, ENZYMES, STARCH, POWDERED CELLULOSE TO PREVENT CAKING, NATAMYCIN TO PROTECT FLAVOR), PARSLEY, CAJUN SEASONING (GARLIC, SPICES [INCLUDING PAPRIKA, OREGANO, RED PEPPER], SALT, ONION)]. Onions are cooked.",PA,0.0
"California Baking Company Telera Bread (La Torta Bread), 6 pack (26 oz) and 12 pack (58 oz), plastic bags",CA,0.0
California Wine Wafer - Mocha Chocolate and Original Wine Wafer - Mocha Chocolate [Two sizes: retail package of 8 wafers (7 oz) and retail gift package of 2 wafers (2 oz)],CA,0.0
Candy Corn packed for Shapiro Produce stores; 15 oz; clear plastic container; UPC 0 18586 00114 4; Best by date 3/8/2023,MA,0.0
Cap n Crunch Instant Oatmeal 8.5 oz 6 Count ; Cap n Crunch OOPS! All Berries Instant Oatmeal8.5 oz 6 Count ; Cap n Crunch Instant Oatmeal Variety Pack 32.1 oz 24 Count,IL,0.0
"Carbquik Mug Cakes   Cinnamon Spice, Net Wt. 9 oz  1.5oz mug cake mix packaged in foil pouch  6 servings per pouch, 24 pouches per case",KY,0.0
"Carolina Ingredients Smoked Peppered Bacon Seasoning Mfr. By: Carolina Ingredients, LLC Rock Hill, SC 29730",SC,0.0
"Cayenne Pepper  1 pound jars, and 5 pound jars",CA,0.0
Central Market 16oz Organic Low Sodium Chicken Broth Concentrate,MD,0.0
Central Market 32oz Organic No Salt Added Chicken Broth,MD,0.0
Charles Boggini Company Cola Flavoring Base; packaged in 1 gallon jugs and 5 gallon pails,CT,0.0
Charles Boggini Pink Lemonde; 1 or 5 U.S. Gallons,CT,0.0
Cheese & Scallion Pierogi  Grandma s Cuisine Cheese & Scallion Pierogi UPC: 8 67355 00040 2	16oz (454g) / 1 dozen,PA,0.0
"Chef Myron's Szechuan Sauce, 64 FL OZ (1.89 L), Item # 400023293, 4 bottles/case",UT,0.0
"Cherries packaged under the following brands and sizes:   1.  Great Value Dark Sweet Cherries, Pitted.  Net Wt 16 oz (1 lb) 454g, UPC 	0 78742-11209 1.  Keep Frozen.  Distributed by:  Walmart Inc., Bentonville, AR  72716   2.  Good & Gather Dark Sweet Whole Pitted Cherries.  Net Wt 12 oz (340 g), UPC 0 85239-04816 0.  Keep Frozen.  Distributed By  Target Corporation Minneapolis, MN  55403   3.  Best Choice Superior Selections Pitted Red Tart Cherries, unsweetened.  Net Wt 12 oz (340 g), UPC 0 70038-65496 4.  Keep Frozen.  Proudly Distributed By:  Asociated Wholesale Grocers, Inc., Kansas City, Kansas  66106",MN,0.0
"Chocolate & the Chip  Boozy Banana Walnut:  Cookies: 4 oz / 114 grams per pack. Cookies are packaged in uniform pairs in a food grade clear resealable bag and label  Corrected Ingredients: Not provided    Labels found during the inspection had undeclared wheat, milk, soy sulfites. Firm had listed ingredients on packaging but what was missing were the sub ingredients and allergen containment.",CA,0.0
"Chocolate & the Chip  Brown Butter Rice Crispy Treat - Chocolate:  Rice crispy treats: 6 oz / 171 grams Packaged in a food grade clear poly tubing, heat sealed with label   Corrected Ingredients:   Ingredients: rice cereal (rice, sugar, malt extract, salt, preservative (tocopherols), mini marshmallows (corn syrup, sugar, modified cornstarch, dextrose, water, contains less than 2% of gelatin, tetrasodium pyrophosphate (whipping aid), natural and artificial flavor, blue 1), unsalted butter (pasteurized cream, natural flavorings), semi sweet chocolate chips (sugar, chocolate, cocoa butter, milkfat, soy lecithin, natural flavors), pure vanilla extract (vanilla bean extractives in water and alcohol), cinnamon, salt flakes Contains: milk, soy   Labels found during the inspection had undeclared milk. Firm had listed ingredients on packaging but what was missing were the sub ingredients and allergen containment.",CA,0.0
"Chocolate & the Chip  Peanutbutter Spice Cookies: 4 oz / 114 grams per pack. Cookies are packaged in uniform pairs in a food grade clear resealable bag and label  Corrected Ingredients:  Ingredients: All purpose flour (bleached wheat flour, malted barley flour, niacin, reduced iron, ascorbic acid, thiamin mononitrate, riboflavin, folic acid, ascorbic acid) unsalted butter (pasteurized cream, natural flavorings), eggs, semi sweet chocolate chips (sugar, chocolate, cocoa butter, milkfat, soy lecithin, natural flavors), light brown sugar, white granulated sugar, peanut butter (Roasted peanuts 91.5% Dextrose - 6% Hydrogenated vegetable oil (rapeseed, cottonseed, soybean) - 2% Salt - .5%), cinnamon chips (Sugar, partially hydrogenated palm kernel oil, cocoa powder, natural and imitation cinnamon flavor, salt, soy lecithin, and vanillin, pure vanilla extract (vanilla bean extractives in water and alcohol), Himalayan salt, baking soda (sodium bicarbonate), instant decaf coffee (decaffeinated instant coffee, caramelized sugar), cinnamon, salt flakes. Contains: wheat, milk, eggs, soy, tree nuts (peanuts)   Labels found during the inspection had undeclared wheat, milk, soy. Firm had listed ingredients on packaging but what was missing were the sub ingredients and allergen containment.",CA,0.0
"Chocolate Walnut Fudge, 8oz, packaged in clear, plastic clamshell.",IA,0.0
"Churritos Corn Flour sticks, shelf stable, 6 months shelf life, packed in a rectangular shape clear polypropylene bag with net wt.11 oz (311.845g.), UPC# 6-0972233599-7.   Product labeled in part, ""***BOTANAS MICHOACANS CHURRITOS CORN FLOUR STICKS***Best By:***Ingredients: Corn Flour, wheat flour (niacin, reduced iron, thiamine monoltrate, riboflavin, folic acid) water, salt, sesame seen, corn oil, canola oil. Contains WHEAT. BOTANAS MICHOACANAS PORTLAND, OR 97206***NET WT. 11oz (311.845g)***6-0972233599-7***"".",OR,0.0
"Circle K Chicken Salad Sandwich, 5.9 oz. (167g) clamshell packaging with tamper strip, UPC 815138013996, Manufactured By: LSG Sky Chefs Supply Chain Solutions, Inc. 3555 S. 28th St. Phoenix, AZ. Perishable/Keep Refrigerated.",TX,0.0
"Clio Berry Acai flavored Less Sugar Yogurt Bar in a Chocolate Coating 45g x 10 Clio Retail 10-pack, UPC: 854021008244",NJ,0.0
"Clio Expresso Greek Yogurt Bars wrapped in a Chocolate Coating 50g x 10 Clio Retail 10-pack, UPC code: 867155000244",NJ,0.0
Clio No Added Sugar Yogurt Bar Mixed Berry / Peach  50g x 16 (12pc tray). UPC Code: 854021008220,NJ,0.0
"Coburn Farms Snackers, Sharp Yellow Cheddar Cheese, Cherry Juice Infused Dried Cranberries & Roasted Sea Salted Cashews, 3 Pack, Net Wt 4.5 oz (127.5g)  3-1.5 oz (42.5g) packs, Keep Refrigerated.  UPC 51933-36243.  Distributed By:  Save-A-Lot Food Stores, Ltd., Earth City, MO  63045",OH,0.0
"Coffee + Non-Dairy Creamer + Sugar Canned Beverage packaged under the following brands and sizes:   1.  Coffee Hound Coffee Co Nitro with Sugar and Non-Dairy Creamer, 12 oz. UPC 7 83970-58494 6.   2. Euphoria Coffee Sweetened Latte, 12 oz. UPC 8 10149-37096 0.   3.  Kahawa 1893 Coffee Inc Safari Latte, 12 oz. UPC 8 50033-95735 8.   4.  Ludwig Coffee Macchiato, 12 oz. UPC 	8 60008-03483 0.",WI,0.0
Coffee Bonbon,FL,0.0
"Cold Stone Creamery Hot Cocoa Peanut Butter Cup Perfection packaged in single serve pods.   Pods are packaged in the following Two Rivers Variety Pack boxes: -Two Rivers Coffee Hot Cocoa Pods, Single Serve Variety Sampler Pack , 40 Count UPC: 810683022554 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count UPC:850027429601 -Two Rivers Coffee Hot Cocoa Pods Variety Sampler, 52 Count	UPC: 810683027030 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 40 count UPC: 810683022608 -Two Rivers Coffee Coffee, Tea, Cocoa, Cider, Cappuccino Bit Of Everything Variety Sampler Pack, 100 count UPC: 810683027009 -Two Rivers Coffee Coffee & Hot Cocoa Chocoholics, 40 Count UPC: 810683025197 -Two Rivers Coffee Hot Chocolate Variety, Gift Box, 12 Count UPC: 810683026989 -Two Rivers Coffee Best of The Best Pods Variety Sampler Assorted Cocoa, 40 Count UPC: 810683029744",NJ,0.0
"Conah Organic Enoki Mushrooms;  200 g (7.05 oz.) clear package with orange bottom  UPC 8 51511 00770 1  Distributed by:  Marquis Worldwide Specialty Inc.  City of Industry, CA 91748    Cook for a minimum of 7-8 mins before consumption.",CA,0.0
"Country Cookie M&M cookie, plastic wrapped; Country Cookie Mini Cups of Cookies M&M Cookie",MO,0.0
"Country Cookie Sugar Frosted Cookie, plastic wrapped",MO,0.0
Country Time Lemonade drink mix powder   19 oz. UPC 043000951170  29 oz. UPC 043000951194  63 oz. UPC 043000082195  82.5 oz. UPC 043000928608  116 oz. UPC 043000075388,IL,0.0
"Crab Stuffed Portobella; Wegmans Ready to Cook Portobella Mushroom with Crab Stuffing, Sold by the lb; Unit size varies; Oven ready tray; Package size varies; Keep Refrigerated",NY,0.0
"Crabmeat Stuffed Mushrooms; Wegmans Ready to Cook Crabmeat Stuffed Mushrooms, Sold by the lb; Unit size varies; Oven Ready Tray; Package size varies; Keep Refrigerated or Frozen",NY,0.0
Cream Cheese Rangoon NET WT: 5.00 LB. (2.26 KG) CT/CS: 100 PS (5 TRAYS X 20 PCS UPC: (01)10664383187016(15)112823(10)0601233A1W package in corrugated cardboard case.,TX,0.0
Cream Cheese Stuffed Plain Mini Bagels,NY,0.0
"Creekside Mallow Chocolate Chip Mint Marshmallows, packed in a Stand Up Flexible Pouch (Bag), Net wt. 3.9oz. UPC 7 09951 63271 0. Manufactured by Creekside Mallow LLC Caldwell, ID. www.creeksidemallow.com.  The label declares: INGREDIENTS: CORN SYRUP ***SUGAR, WATER, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, BUTTERFAT, SOY LECITHIN, NATURAL FLAVOR)***CONTAINS: SOY.",ID,0.0
Cricket Creek Farm brand Berkshire Bloom Cheese,MA,0.0
"Cross Valley Farms 4/5 LB CTN FRESH 1/8"" SLIVERED YELLOW ONIONS W/ZIPPER",CA,0.0
"DAIYA CHEESE VEGAN CHEDDAR STYLE SLICE 8/7.8oz Plastic bag MANUFACDTURED BY: DAIYA FOODS INC., BURNABY, BC CANADA VSA 4R4 PRODUCT OF CANADA KEEP REFRIGERATED UPC 3 08 71459 00022 1",GA,0.0
"DELI CAROLINA STYLE MUSTARD BBQ SAUCE, 2 oz (57g), plastic cup, 96 cups/case, store in ambient temperatures",CA,0.0
"Daily Fiber Blend - Caramel Apple Flavor;  Organic Plant Powder Mix for preparation of a fiber-rich drink,  540g Plastic Bottle, 180g Bio Bag Terra Pouch;  Finished Product Item#: 2012E, 2012, 2012-P65, 2013, 2013-P65, 2016, 2016-P65    Brand names of:  Platinum Health Europe, Netherlands;  Purim - Rancho Dominguez, CA;",CA,0.0
Daniel Boulud brand Baja flavored (8oz) smoked salmon products manufactured on 11/19/19 by Catsmo Acquisition LLC packaged in vacuum pouches.,NY,0.0
Dannon Plain Yogurt packaged in 32oz plastic carton with lid - 6 cartons per case,NY,0.0
"Dawn's Campfire BBQ Beans, #90125,  Net Wt 8 lb (3.63 kg)  Keep Refrigerated   UPC 0 32345 90125 4.   Mfg By Morski Brands, Inc., Portage, WI  53901",WI,0.0
"Deep-fried Donut (Banh Tieu) 3.2-ounce package in clear plastic bag, no UPC, no brand.    Product is labeled in part, ""BANH TIEU***Ingredients: bread flour, sugar, baking powder, salt, sesame seed, water, shortening oil.***Lanvin French Bakery***"".",OR,0.0
"Designed by Nature Cow's Milk Formula:  12 oz. plastic pouch.    Easy to Digest, Nutritionally Alive, Developed for All Life Stages.  For the Little Ones in Your Life.    UPC: 0 19962 28421 2",CA,0.0
"Diced Red Onion, NET WT, 10 OZ (283g), Dist. By: Renaissance Food Group LLC 4322 Moreland Ave. Conley, GA 30288, UPC, 8 26766 18100 1",GA,0.0
"Dierbergs Kitchen Kosher-Style Potato Salad, packaged in 12 OZ containers UPC 23753400000 and in bulk by pound containers UPC 23494500000",MO,0.0
"Dierbergs Kitchen Remoulade packaged in 12 OZ containers, UPC 2393330149 and 24616200000",MO,0.0
"Dietz & Watson, Turkey & Cheese Finger Sandwiches, Net Wt. 6.5 Oz. Single Serving, Keep refrigerated",MD,500.0
"Dietz & Watson, Turkey & Swiss Half Sub. Single Serving, Keep refrigerated",MD,1152.0
Dole 10.6oz Chopped Greek  Product UPC 071430000885,CA,0.0
Dole 9.8 oz  Chopped Teriyaki Pineapple Kit   UPC: 0-71430-00100-4  SKU: 791  Dole 9.8 oz  Chopped Teriyaki Pineapple Kit / Teriyaki A L'ananas  UPC: ¿0-71430-00182-0  SKU 1014,CA,0.0
